return_id,order_id,return_date,return_reason,refund_amount
R30085,O112727,2025-06-18,Size Issue,148.08
R30086,O121422,2025-02-23,Size Issue,86.98
R30087,O101425,2025-01-30,Late Delivery,147.73
R30088,O106254,2025-05-14,Late Delivery,70.53
R30089,O106177,2025-06-27,Wrong Item,307.31
R30090,O101116,2025-06-18,Damaged,258.0
R30091,O112284,2025-04-29,Not As Described,154.77
R30092,O121765,2025-03-16,Damaged,346.04
R30093,O105386,2025-05-24,Not As Described,234.19
R30094,O105690,2025-03-15,Damaged,233.33
R30095,O105124,2025-04-21,Late Delivery,217.97
R30097,O119041,2025-02-28,Changed Mind,78.85
R30098,O120532,2025-04-01,Size Issue,156.63
R30099,O106158,2025-05-01,Wrong Item,286.67
R30100,O115285,2025-03-16,Wrong Item,91.28
R30101,O105896,2025-02-10,Late Delivery,275.5
R30102,O115013,2025-02-14,Damaged,10.65
R30103,O116495,2025-03-02,Changed Mind,212.09
R30104,O103558,2025-03-04,Changed Mind,208.63
R30105,O100525,2025-07-03,Damaged,231.5
R30106,O115825,2025-02-16,Changed Mind,317.02
R30107,O110946,2025-02-13,Late Delivery,249.9
R30108,O113324,2025-02-18,Changed Mind,252.99
R30109,O101176,2025-05-18,Late Delivery,174.97
R30110,O114010,2025-01-12,Changed Mind,91.39
R30111,O117253,2025-06-19,Changed Mind,338.87
R30112,O101581,2025-02-04,Not As Described,145.6
R30113,O115910,2025-06-12,Changed Mind,269.34
R30114,O115541,2025-03-23,Size Issue,302.62
R30115,O109746,2025-03-13,Late Delivery,265.72
R30116,O110933,2025-02-16,Changed Mind,32.61
R30117,O115544,2025-04-06,Damaged,270.97
R30118,O113123,2025-05-31,Damaged,51.98
R30119,O121613,2025-06-28,Late Delivery,132.5
R30120,O108001,2025-06-01,Wrong Item,172.32
R30121,O103016,2025-02-16,Wrong Item,195.14
R30122,O106552,2025-06-27,Damaged,212.8
R30123,O109441,2025-07-02,Size Issue,85.61
R30124,O121054,2025-06-18,Wrong Item,243.67
R30125,O117184,2025-02-24,Size Issue,156.62
R30126,O117784,2025-02-22,Size Issue,124.0
R30127,O108791,2025-04-08,Changed Mind,247.65
R30128,O103687,2025-04-21,Changed Mind,339.08
R30129,O115943,2025-01-22,Size Issue,171.67
R30130,O117359,2025-04-14,Changed Mind,199.69
R30131,O101215,2025-02-23,Changed Mind,77.78
R30132,O116646,2025-06-15,Damaged,195.34
R30133,O108045,2025-04-04,Changed Mind,68.82
R30134,O117386,2025-03-03,Wrong Item,125.46
R30135,O103920,2025-04-13,Damaged,243.31
R30136,O103850,2025-06-24,Late Delivery,338.98
R30137,O112158,2025-01-20,Size Issue,127.69
R30138,O103498,2025-04-17,Late Delivery,316.91
R30139,O100418,2025-03-11,Not As Described,293.49
R30140,O116644,2025-06-19,Size Issue,192.84
R30141,O115076,2025-05-10,Not As Described,6.85
R30142,O120328,2025-03-11,Not As Described,139.12
R30143,O105766,2025-01-25,Late Delivery,256.06
R30144,O105212,2025-06-22,Damaged,114.26
R30145,O102822,2025-02-06,Late Delivery,296.65
R30146,O109328,2025-05-24,Late Delivery,110.65
R30147,O105899,2025-01-22,Late Delivery,140.29
R30148,O112726,2025-03-18,Damaged,336.2
R30149,O116082,2025-04-19,Wrong Item,255.95
R30150,O115976,2025-07-02,Damaged,52.42
R30151,O121951,2025-05-13,Size Issue,240.57
R30152,O104428,2025-03-19,Size Issue,208.08
R30153,O107417,2025-02-03,Wrong Item,300.4
R30154,O111059,2025-03-09,Changed Mind,94.38
R30155,O120556,2025-01-09,Late Delivery,222.32
R30156,O121464,2025-05-12,Damaged,87.07
R30157,O111524,2025-06-28,Changed Mind,294.0
R30158,O101240,2025-03-29,Size Issue,188.38
R30159,O115999,2025-03-07,Not As Described,299.43
R30160,O101865,2025-05-31,Not As Described,198.64
R30161,O109835,2025-03-27,Damaged,338.31
R30162,O118520,2025-02-08,Size Issue,74.87
R30163,O120591,2025-06-24,Late Delivery,146.52
R30164,O113899,2025-05-31,Wrong Item,183.08
R30165,O117600,2025-03-31,Wrong Item,295.18
R30166,O109314,2025-02-15,Size Issue,6.86
R30167,O103728,2025-01-11,Changed Mind,245.78
R30168,O106650,2025-06-25,Changed Mind,16.65
R30169,O117597,2025-01-26,Changed Mind,111.33
R30170,O113015,2025-03-05,Changed Mind,177.2
R30171,O111078,2025-04-16,Changed Mind,251.66
R30172,O105962,2025-02-21,Late Delivery,56.6
R30173,O103900,2025-04-20,Wrong Item,62.66
R30174,O111744,2025-06-26,Late Delivery,224.32
R30175,O100079,2025-01-22,Not As Described,41.25
R30176,O120512,2025-05-18,Wrong Item,121.4
R30177,O101495,2025-03-22,Changed Mind,159.78
R30178,O112011,2025-06-26,Not As Described,184.68
R30179,O115417,2025-04-20,Late Delivery,46.84
R30180,O101060,2025-03-07,Damaged,152.02
R30181,O111501,2025-06-03,Wrong Item,52.4
R30182,O107811,2025-05-09,Changed Mind,177.08
R30183,O120239,2025-06-25,Size Issue,224.88
R30184,O116408,2025-04-11,Wrong Item,275.9
R30185,O102309,2025-04-16,Damaged,156.22
R30186,O114432,2025-01-24,Damaged,325.68
R30187,O115501,2025-03-29,Not As Described,99.97
R30188,O102173,2025-03-19,Size Issue,285.42
R30189,O112836,2025-05-09,Size Issue,113.48
R30190,O113034,2025-01-19,Changed Mind,208.69
R30191,O106148,2025-04-10,Not As Described,148.92
R30192,O121284,2025-03-30,Changed Mind,15.61
R30193,O108726,2025-03-13,Changed Mind,83.38
R30194,O117989,2025-06-02,Late Delivery,151.36
R30195,O115106,2025-01-26,Changed Mind,32.34
R30196,O104261,2025-02-21,Late Delivery,69.35
R30197,O105978,2025-06-17,Late Delivery,106.5
R30198,O113846,2025-06-25,Not As Described,126.47
R30199,O119952,2025-01-25,Wrong Item,140.6
R30200,O108356,2025-04-12,Size Issue,26.65
R30201,O103623,2025-01-30,Size Issue,311.32
R30202,O101018,2025-04-27,Late Delivery,149.83
R30203,O115753,2025-03-17,Damaged,90.9
R30204,O107801,2025-01-26,Late Delivery,5.33
R30205,O119038,2025-01-27,Not As Described,100.02
R30206,O121935,2025-06-01,Changed Mind,54.3
R30207,O116922,2025-06-29,Not As Described,18.34
R30208,O121526,2025-04-05,Wrong Item,11.01
R30209,O120930,2025-04-02,Not As Described,322.87
R30210,O103297,2025-04-27,Late Delivery,49.57
R30211,O118457,2025-03-18,Size Issue,242.11
R30212,O117355,2025-01-12,Damaged,306.43
R30213,O106355,2025-06-02,Not As Described,172.64
R30214,O112181,2025-06-28,Wrong Item,78.45
R30215,O105035,2025-01-31,Changed Mind,83.9
R30216,O116155,2025-06-04,Late Delivery,219.63
R30217,O118892,2025-04-14,Changed Mind,236.97
R30218,O114866,2025-06-08,Size Issue,349.86
R30219,O114938,2025-03-03,Damaged,334.95
R30220,O121758,2025-06-08,Not As Described,27.92
R30221,O116388,2025-03-31,Late Delivery,158.68
R30222,O102561,2025-05-03,Size Issue,165.82
R30223,O107051,2025-05-28,Not As Described,229.4
R30224,O101037,2025-05-15,Changed Mind,266.93
R30225,O107450,2025-04-09,Not As Described,249.92
R30226,O112240,2025-02-24,Wrong Item,322.31
R30227,O116321,2025-01-23,Wrong Item,261.63
R30228,O112606,2025-05-10,Size Issue,114.48
R30229,O106483,2025-01-08,Size Issue,51.16
R30230,O114190,2025-02-12,Size Issue,224.09
R30231,O100606,2025-01-12,Changed Mind,111.68
R30232,O108154,2025-03-13,Size Issue,136.72
R30233,O103492,2025-02-20,Size Issue,270.27
R30234,O101200,2025-04-29,Changed Mind,200.04
R30235,O114223,2025-02-17,Damaged,274.13
R30236,O106150,2025-06-27,Damaged,173.54
R30237,O106933,2025-01-11,Wrong Item,202.18
R30238,O110495,2025-01-26,Not As Described,285.26
R30239,O102903,2025-06-16,Changed Mind,149.35
R30240,O113015,2025-06-23,Not As Described,34.76
R30241,O100476,2025-05-15,Damaged,173.18
R30242,O115847,2025-02-01,Damaged,293.55
R30243,O107005,2025-02-11,Damaged,106.02
R30244,O108031,2025-06-26,Damaged,338.21
R30245,O119700,2025-01-30,Not As Described,271.56
R30246,O114048,2025-02-15,Damaged,223.49
R30247,O105652,2025-03-27,Damaged,242.64
R30248,O103126,2025-01-26,Damaged,254.32
R30249,O111956,2025-02-28,Changed Mind,327.34
R30250,O108269,2025-06-03,Changed Mind,118.76
R30251,O109995,2025-03-11,Wrong Item,55.97
R30252,O115876,2025-04-28,Late Delivery,113.05
R30253,O108812,2025-06-15,Size Issue,279.64
R30254,O114544,2025-04-21,Size Issue,48.9
R30255,O109124,2025-05-06,Damaged,333.98
R30256,O100170,2025-05-24,Wrong Item,167.42
R30257,O113935,2025-06-02,Changed Mind,253.65
R30258,O115694,2025-06-22,Late Delivery,78.75
R30259,O107206,2025-05-04,Not As Described,222.1
R30260,O104591,2025-04-21,Changed Mind,176.07
R30261,O106171,2025-01-17,Changed Mind,157.74
R30262,O114140,2025-06-01,Changed Mind,69.38
R30263,O120271,2025-05-21,Wrong Item,151.46
R30264,O111040,2025-05-09,Not As Described,172.63
R30265,O119279,2025-03-04,Wrong Item,145.31
R30266,O113055,2025-01-26,Changed Mind,56.29
R30267,O108045,2025-02-19,Not As Described,132.55
R30268,O115436,2025-04-27,Changed Mind,104.08
R30269,O110175,2025-05-13,Not As Described,340.92
R30270,O109514,2025-05-11,Not As Described,119.09
R30271,O107691,2025-03-08,Not As Described,178.89
R30272,O119072,2025-01-28,Size Issue,331.7
R30273,O117864,2025-06-11,Late Delivery,328.83
R30274,O110686,2025-02-24,Size Issue,191.95
R30275,O104344,2025-02-10,Damaged,90.26
R30276,O109297,2025-04-30,Size Issue,20.98
R30277,O119534,2025-06-23,Not As Described,9.08
R30278,O109089,2025-04-17,Size Issue,158.89
R30279,O120639,2025-06-29,Not As Described,322.99
R30280,O120156,2025-01-15,Damaged,216.15
R30281,O112090,2025-05-05,Not As Described,97.42
R30282,O118847,2025-04-04,Changed Mind,120.16
R30283,O120775,2025-06-04,Size Issue,261.91
R30284,O108346,2025-05-23,Not As Described,173.39
R30285,O103926,2025-05-24,Changed Mind,42.39
R30286,O117629,2025-06-16,Size Issue,187.02
R30287,O112549,2025-05-09,Wrong Item,167.3
R30288,O104139,2025-06-23,Size Issue,291.39
R30289,O113119,2025-05-27,Late Delivery,166.44
R30290,O100872,2025-04-25,Damaged,160.74
R30291,O105559,2025-04-08,Damaged,222.74
R30292,O101466,2025-03-09,Size Issue,61.43
R30293,O118690,2025-06-20,Size Issue,200.41
R30294,O110251,2025-03-02,Size Issue,19.9
R30295,O111624,2025-06-18,Changed Mind,330.89
R30296,O118580,2025-07-02,Not As Described,280.73
R30297,O111550,2025-06-03,Size Issue,299.79
R30298,O110820,2025-07-04,Wrong Item,245.54
R30299,O103133,2025-03-28,Not As Described,42.76
R30300,O112372,2025-02-28,Wrong Item,305.41
R30301,O108907,2025-02-06,Late Delivery,67.43
R30302,O111059,2025-06-11,Changed Mind,22.31
R30303,O100821,2025-01-31,Damaged,68.28
R30304,O113538,2025-06-18,Changed Mind,147.14
R30305,O120632,2025-04-15,Wrong Item,321.9
R30306,O112507,2025-04-02,Wrong Item,336.36
R30307,O103998,2025-03-28,Wrong Item,144.41
R30308,O114123,2025-02-25,Wrong Item,275.01
R30309,O102054,2025-01-15,Late Delivery,118.66
R30310,O101263,2025-05-19,Damaged,212.41
R30311,O120219,2025-06-29,Late Delivery,68.09
R30312,O107904,2025-06-05,Damaged,161.76
R30313,O100787,2025-06-20,Not As Described,125.64
R30314,O114868,2025-04-03,Damaged,252.73
R30315,O108104,2025-02-23,Wrong Item,178.05
R30316,O104156,2025-03-08,Not As Described,272.02
R30317,O109127,2025-02-08,Not As Described,67.8
R30318,O112222,2025-02-14,Size Issue,237.14
R30319,O101753,2025-01-19,Not As Described,203.24
R30320,O103969,2025-02-17,Damaged,294.74
R30321,O107454,2025-02-07,Late Delivery,133.07
R30322,O111649,2025-06-07,Not As Described,256.63
R30323,O112641,2025-01-25,Changed Mind,309.33
R30324,O106295,2025-04-08,Not As Described,133.62
R30325,O107574,2025-01-14,Damaged,72.77
R30326,O103411,2025-04-07,Not As Described,207.9
R30327,O107277,2025-05-12,Wrong Item,155.59
R30328,O104296,2025-04-14,Wrong Item,92.43
R30329,O103318,2025-03-18,Late Delivery,49.69
R30330,O112411,2025-03-21,Not As Described,165.94
R30331,O118361,2025-06-01,Wrong Item,238.78
R30332,O107712,2025-06-20,Not As Described,121.24
R30333,O101142,2025-05-04,Size Issue,53.87
R30334,O112482,2025-03-21,Wrong Item,212.17
R30335,O114014,2025-05-10,Changed Mind,160.85
R30336,O102659,2025-01-09,Not As Described,205.3
R30337,O121327,2025-01-20,Size Issue,160.23
R30338,O100626,2025-01-08,Size Issue,138.46
R30339,O104551,2025-02-12,Changed Mind,191.99
R30340,O111153,2025-04-25,Late Delivery,40.3
R30341,O118904,2025-05-31,Changed Mind,107.77
R30342,O115606,2025-05-06,Damaged,159.84
R30343,O120404,2025-04-19,Changed Mind,338.97
R30344,O104916,2025-03-27,Late Delivery,104.99
R30345,O112180,2025-03-28,Late Delivery,344.92
R30346,O106899,2025-05-27,Wrong Item,326.22
R30347,O107440,2025-06-27,Damaged,93.18
R30348,O115475,2025-04-29,Wrong Item,239.64
R30349,O105245,2025-05-15,Late Delivery,109.63
R30350,O113741,2025-04-20,Size Issue,8.49
R30351,O118568,2025-03-25,Wrong Item,56.68
R30352,O104405,2025-06-03,Not As Described,226.04
R30353,O116666,2025-05-02,Wrong Item,72.34
R30354,O111766,2025-06-08,Late Delivery,251.19
R30355,O100017,2025-05-03,Wrong Item,143.85
R30356,O103502,2025-03-28,Damaged,215.42
R30357,O120688,2025-01-30,Wrong Item,263.22
R30358,O106221,2025-04-25,Not As Described,153.82
R30359,O115647,2025-02-28,Not As Described,197.99
R30360,O108978,2025-04-16,Wrong Item,39.1
R30361,O110386,2025-04-06,Changed Mind,45.8
R30362,O120773,2025-04-27,Changed Mind,320.54
R30363,O107103,2025-07-03,Not As Described,27.16
R30364,O112435,2025-01-16,Size Issue,184.96
R30365,O107330,2025-03-14,Not As Described,184.8
R30366,O102431,2025-04-02,Damaged,104.84
R30367,O112145,2025-01-16,Late Delivery,258.14
R30368,O104451,2025-01-13,Size Issue,132.29
R30369,O112601,2025-04-22,Size Issue,165.09
R30370,O103763,2025-03-11,Not As Described,203.01
R30371,O104760,2025-04-08,Size Issue,74.35
R30372,O108679,2025-03-29,Size Issue,271.07
R30373,O117242,2025-03-05,Changed Mind,224.38
R30374,O117155,2025-05-08,Changed Mind,121.39
R30375,O110867,2025-02-27,Late Delivery,279.76
R30376,O102643,2025-01-17,Damaged,266.82
R30377,O105768,2025-06-07,Damaged,191.74
R30378,O107104,2025-04-16,Wrong Item,345.18
R30379,O100212,2025-03-18,Late Delivery,205.54
R30380,O104247,2025-06-01,Not As Described,336.42
R30381,O104334,2025-04-27,Not As Described,60.68
R30382,O114648,2025-06-14,Size Issue,228.61
R30383,O111370,2025-02-24,Changed Mind,162.61
R30384,O115009,2025-05-06,Size Issue,78.94
R30385,O116692,2025-04-30,Late Delivery,250.7
R30386,O110168,2025-01-28,Not As Described,216.19
R30387,O120141,2025-02-05,Size Issue,95.25
R30388,O101146,2025-06-19,Size Issue,303.8
R30389,O100895,2025-06-01,Size Issue,92.5
R30390,O113745,2025-06-23,Wrong Item,273.69
R30391,O118710,2025-04-09,Changed Mind,94.6
R30392,O110526,2025-02-12,Damaged,340.63
R30393,O107607,2025-06-02,Size Issue,236.96
R30394,O118874,2025-04-15,Size Issue,307.21
R30395,O100730,2025-03-06,Not As Described,258.24
R30396,O117498,2025-03-31,Damaged,310.86
R30397,O115785,2025-03-01,Wrong Item,299.83
R30398,O114626,2025-01-20,Wrong Item,303.98
R30399,O121864,2025-07-04,Damaged,260.16
R30400,O108369,2025-04-12,Not As Described,21.48
R30401,O116789,2025-06-08,Not As Described,99.01
R30402,O115457,2025-05-07,Size Issue,330.0
R30403,O106059,2025-01-10,Wrong Item,17.17
R30404,O109288,2025-02-22,Size Issue,49.72
R30405,O110974,2025-04-12,Not As Described,104.96
R30406,O116144,2025-04-07,Not As Described,176.26
R30407,O118703,2025-02-05,Late Delivery,49.07
R30408,O114691,2025-02-18,Not As Described,237.08
R30409,O114761,2025-05-23,Damaged,50.5
R30410,O113285,2025-02-18,Late Delivery,45.87
R30411,O100001,2025-05-06,Late Delivery,78.3
R30412,O113348,2025-04-23,Damaged,266.51
R30413,O101058,2025-06-29,Not As Described,145.98
R30414,O110803,2025-03-01,Damaged,108.62
R30415,O101906,2025-04-27,Wrong Item,165.32
R30416,O110301,2025-03-25,Changed Mind,20.62
R30417,O113257,2025-03-09,Damaged,249.95
R30418,O113956,2025-01-28,Damaged,119.07
R30419,O117589,2025-03-29,Not As Described,313.01
R30420,O119179,2025-06-14,Changed Mind,141.01
R30421,O116572,2025-03-23,Damaged,216.27
R30422,O104295,2025-05-22,Size Issue,154.54
R30423,O111632,2025-06-15,Wrong Item,301.32
R30424,O110355,2025-05-31,Not As Described,313.83
R30425,O116743,2025-06-02,Damaged,269.9
R30426,O118072,2025-04-03,Size Issue,12.37
R30427,O100341,2025-06-13,Wrong Item,28.0
R30428,O106923,2025-04-18,Late Delivery,255.35
R30429,O101744,2025-04-07,Not As Described,315.94
R30430,O117402,2025-03-21,Changed Mind,96.44
R30431,O101251,2025-04-23,Not As Described,246.39
R30432,O112859,2025-06-25,Wrong Item,247.61
R30433,O112174,2025-04-29,Late Delivery,289.9
R30434,O113789,2025-03-12,Size Issue,39.86
R30435,O108337,2025-03-25,Late Delivery,222.56
R30436,O104698,2025-04-02,Damaged,303.78
R30437,O119765,2025-03-16,Size Issue,133.19
R30438,O119082,2025-03-23,Wrong Item,301.25
R30439,O119319,2025-03-05,Damaged,324.99
R30440,O105442,2025-03-27,Late Delivery,211.13
R30441,O109380,2025-03-14,Damaged,279.29
R30442,O104376,2025-01-26,Late Delivery,19.43
R30443,O114085,2025-03-27,Not As Described,123.23
R30444,O117506,2025-06-13,Wrong Item,209.01
R30445,O105445,2025-02-08,Wrong Item,106.9
R30446,O117698,2025-04-19,Size Issue,146.22
R30447,O117208,2025-06-02,Changed Mind,306.97
R30448,O118557,2025-06-11,Changed Mind,156.83
R30449,O109658,2025-06-07,Not As Described,266.24
R30451,O101769,2025-06-12,Changed Mind,109.64
R30452,O111931,2025-03-11,Size Issue,242.24
R30453,O109611,2025-03-15,Wrong Item,75.74
R30454,O102166,2025-03-19,Size Issue,254.12
R30455,O104816,2025-06-05,Late Delivery,325.48
R30456,O116748,2025-05-03,Damaged,142.35
R30457,O113033,2025-03-21,Changed Mind,235.95
R30458,O112368,2025-03-06,Not As Described,211.61
R30459,O121555,2025-06-04,Wrong Item,94.11
R30460,O112367,2025-03-18,Wrong Item,26.21
R30461,O104592,2025-04-22,Changed Mind,254.45
R30462,O102538,2025-03-16,Not As Described,121.51
R30463,O118052,2025-01-12,Changed Mind,282.14
R30464,O112252,2025-05-22,Wrong Item,44.5
R30465,O109502,2025-06-30,Wrong Item,41.13
R30466,O100312,2025-06-25,Size Issue,275.22
R30467,O121977,2025-05-31,Changed Mind,287.23
R30468,O116491,2025-02-20,Size Issue,41.69
R30469,O103213,2025-02-14,Not As Described,161.3
R30470,O116309,2025-03-06,Wrong Item,294.54
R30471,O106326,2025-01-20,Damaged,42.54
R30472,O100266,2025-06-08,Not As Described,12.74
R30473,O117524,2025-04-02,Size Issue,233.08
R30474,O121524,2025-05-16,Wrong Item,95.55
R30475,O113532,2025-04-25,Changed Mind,128.1
R30476,O106306,2025-02-09,Not As Described,84.06
R30477,O107344,2025-06-11,Changed Mind,6.74
R30478,O104523,2025-05-10,Not As Described,148.19
R30479,O112955,2025-03-04,Late Delivery,91.47
R30480,O100365,2025-06-04,Not As Described,326.06
R30481,O107127,2025-06-28,Damaged,96.28
R30482,O106720,2025-05-24,Not As Described,11.91
R30483,O116504,2025-06-21,Size Issue,64.21
R30484,O110269,2025-05-21,Size Issue,333.34
R30485,O101479,2025-06-06,Not As Described,160.74
R30486,O108655,2025-03-18,Changed Mind,345.39
R30487,O121416,2025-02-02,Wrong Item,26.24
R30488,O114536,2025-03-12,Late Delivery,268.04
R30489,O109079,2025-02-17,Size Issue,213.4
R30490,O116349,2025-02-03,Changed Mind,341.76
R30491,O105027,2025-01-10,Late Delivery,32.2
R30492,O112378,2025-06-03,Late Delivery,274.38
R30493,O102241,2025-05-02,Size Issue,322.69
R30494,O116463,2025-02-10,Changed Mind,8.27
R30495,O107277,2025-01-23,Size Issue,176.37
R30496,O103602,2025-07-03,Wrong Item,212.7
R30497,O117379,2025-02-21,Changed Mind,78.17
R30498,O105990,2025-02-06,Not As Described,127.48
R30499,O109578,2025-05-10,Not As Described,271.72
R30500,O120225,2025-01-19,Late Delivery,41.1
R30501,O117872,2025-05-10,Damaged,107.55
R30502,O102701,2025-04-01,Damaged,285.47
R30503,O111093,2025-03-26,Wrong Item,7.96
R30504,O116123,2025-05-20,Damaged,290.68
R30505,O116168,2025-04-07,Size Issue,253.53
R30506,O108882,2025-02-26,Wrong Item,182.14
R30507,O111602,2025-03-22,Late Delivery,248.66
R30508,O118321,2025-06-18,Wrong Item,246.01
R30509,O108500,2025-04-23,Wrong Item,22.67
R30510,O114171,2025-04-12,Not As Described,206.36
R30512,O113053,2025-05-08,Changed Mind,290.44
R30513,O120781,2025-06-06,Late Delivery,46.92
R30514,O117306,2025-02-10,Size Issue,56.43
R30515,O118567,2025-02-09,Damaged,38.63
R30516,O107931,2025-01-17,Not As Described,199.95
R30517,O107547,2025-03-11,Not As Described,290.16
R30518,O117526,2025-01-10,Not As Described,278.69
R30519,O103286,2025-01-18,Not As Described,333.26
R30520,O120407,2025-03-26,Late Delivery,29.59
R30521,O115930,2025-03-20,Changed Mind,225.85
R30522,O100934,2025-06-02,Changed Mind,71.78
R30523,O118601,2025-04-28,Late Delivery,78.86
R30524,O116235,2025-03-26,Size Issue,57.45
R30525,O112476,2025-04-15,Changed Mind,61.32
R30526,O114798,2025-01-24,Size Issue,208.65
R30527,O118162,2025-02-14,Wrong Item,15.45
R30528,O117927,2025-06-13,Late Delivery,241.53
R30529,O114795,2025-03-06,Late Delivery,298.78
R30530,O105385,2025-06-02,Not As Described,202.5
R30531,O113629,2025-01-21,Wrong Item,325.14
R30532,O110851,2025-01-15,Size Issue,259.11
R30533,O117076,2025-02-13,Late Delivery,337.9
R30534,O108576,2025-04-09,Not As Described,305.17
R30535,O121992,2025-02-04,Not As Described,301.27
R30536,O101401,2025-02-11,Size Issue,288.44
R30537,O120726,2025-02-06,Size Issue,349.02
R30539,O108366,2025-05-06,Damaged,304.85
R30540,O109010,2025-04-03,Size Issue,333.93
R30541,O108106,2025-04-18,Changed Mind,83.33
R30542,O100590,2025-04-09,Size Issue,245.31
R30543,O112687,2025-05-23,Changed Mind,343.71
R30544,O121327,2025-06-09,Wrong Item,69.26
R30545,O116315,2025-04-18,Damaged,291.31
R30546,O102085,2025-02-25,Damaged,26.0
R30547,O106920,2025-04-02,Not As Described,102.52
R30548,O119403,2025-06-06,Size Issue,295.35
R30549,O101437,2025-04-04,Not As Described,303.21
R30550,O108777,2025-06-17,Late Delivery,341.38
R30551,O102772,2025-06-30,Damaged,218.01
R30552,O113085,2025-05-08,Late Delivery,85.8
R30553,O111497,2025-01-08,Damaged,246.38
R30554,O107211,2025-05-30,Size Issue,104.65
R30555,O102638,2025-04-28,Late Delivery,144.0
R30556,O110537,2025-01-28,Changed Mind,321.24
