order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI200094,O113615,P1118,1,166.32,0.1
OI200095,O107064,P1006,1,265.69,0.0
OI200096,O118236,P1133,5,124.67,0.15
OI200097,O112107,P1153,5,168.52,0.0
OI200098,O101620,P1155,2,109.87,0.15
OI200099,O102502,P1008,2,16.2,0.1
OI200100,O109245,P1149,-1,16.5,0.05
OI200101,O111855,P1056,3,336.55,0.1
OI200102,O102746,P1173,2,219.71,0.1
OI200103,O107736,P1119,1,365.13,0.1
OI200104,O104565,P1130,1,226.0,0.2
OI200106,O109065,P1068,1,165.45,0.1
OI200107,O121086,P1037,5,78.39,0.05
OI200108,O121011,P1021,2,407.38,0.0
OI200109,O108081,P1161,3,95.15,0.1
OI200110,O106480,P1141,3,215.47,0.0
OI200111,O115133,P1155,1,103.33,0.0
OI200112,O100675,P1167,4,156.05,0.0
OI200113,O103149,P1089,5,30.48,0.0
OI200114,O107408,P1050,1,75.47,0.15
OI200115,O121016,P1095,3,200.52,0.0
OI200116,O110748,P1078,4,196.41,0.15
OI200117,O111431,P1176,1,184.78,0.25
OI200118,O109053,P1077,1,407.45,0.15
OI200119,O114617,P1175,1,235.26,0.0
OI200120,O101605,P1020,1,101.06,0.2
OI200121,O102341,P1099,2,231.82,0.0
OI200122,O112882,P1120,5,256.94,0.1
OI200123,O113906,P1101,4,287.11,0.2
OI200124,O117354,P1099,1,228.21,0.2
OI200125,O121865,P1168,4,201.02,0.0
OI200126,O119000,P1092,5,346.86,0.0
OI200127,O103517,P1128,2,342.87,0.15
OI200128,O104421,P1150,1,48.83,0.1
OI200129,O120060,P1024,1,16.09,0.1
OI200130,O115844,P1021,5,415.12,0.05
OI200131,O107001,P1119,1,373.9,0.0
OI200132,O121745,P1166,1,108.14,0.0
OI200133,O115198,P1022,1,75.71,0.0
OI200134,O109132,P1146,1,53.57,0.1
OI200135,O109786,P1007,1,149.06,0.0
OI200136,O110531,P1137,5,158.46,0.0
OI200137,O118121,P1101,2,289.23,0.15
OI200138,O118713,P1140,2,130.38,0.1
OI200139,O106665,P1100,2,271.11,0.05
OI200140,O116851,P1113,1,198.27,0.0
OI200141,O103130,P1091,2,149.49,0.05
OI200142,O110098,P1146,4,49.37,0.05
OI200143,O120817,P1000,2,32.03,0.25
OI200144,O111787,P1164,1,249.9,0.2
OI200145,O101155,P1083,5,108.24,0.2
OI200146,O114810,P1052,3,187.29,0.0
OI200147,O108938,P1071,5,15.42,0.0
OI200148,O106811,P1049,1,213.53,0.0
OI200149,O100307,P1038,2,43.06,0.0
OI200150,O101482,P1041,2,120.62,0.05
OI200151,O114121,P1103,2,150.88,0.0
OI200152,O115867,P1118,2,173.84,0.0
OI200153,O100457,P1048,2,165.68,0.1
OI200154,O121488,P1153,2,165.24,0.0
OI200155,O120506,P1163,1,70.4,0.0
OI200156,O102203,P1007,2,147.68,0.0
OI200157,O110366,P1026,1,189.4,0.1
OI200158,O114363,P1091,1,156.0,0.0
OI200159,O118023,P1051,1,57.05,0.15
OI200160,O108718,P1048,2,156.34,0.1
OI200161,O114048,P1022,3,75.27,0.0
OI200162,O102384,P1168,5,199.01,0.25
OI200163,O112020,P1170,5,195.55,0.0
OI200164,O114618,P1049,2,196.54,0.0
OI200165,O119043,P1115,3,78.76,0.0
OI200166,O108278,P1072,1,19.75,0.05
OI200167,O107656,P1121,4,203.34,0.05
OI200168,O117178,P1017,1,52.13,0.1
OI200169,O118514,P1154,3,248.94,0.15
OI200170,O112361,P1113,5,196.69,0.1
OI200171,O119021,P1046,3,233.93,0.05
OI200172,O104096,P1026,4,194.86,0.15
OI200173,O101125,P1142,2,406.7,0.15
OI200174,O119159,P1114,3,12.95,0.05
OI200175,O102388,P1145,1,226.38,0.0
OI200176,O111213,P1000,4,31.28,0.0
OI200177,O110848,P1123,2,287.5,0.0
OI200178,O117707,P1139,5,279.87,0.2
OI200179,O111190,P1154,1,248.82,0.2
OI200180,O115079,P1173,4,209.5,0.1
OI200181,O109739,P1145,4,205.26,0.05
OI200182,O120432,P1033,2,81.02,0.2
OI200183,O119617,P1113,1,198.87,0.15
OI200184,O115384,P1016,3,105.44,0.25
OI200185,O105817,P1035,3,76.78,0.0
OI200186,O113169,P1100,4,262.67,0.25
OI200187,O113883,P1053,2,286.35,0.0
OI200188,O102555,P1129,2,131.21,0.05
OI200189,O108492,P1165,2,287.27,0.0
OI200190,O114326,P1170,2,189.85,0.1
OI200191,O105943,P1162,5,97.75,0.0
OI200192,O100152,P1138,2,293.72,0.15
OI200193,O121559,P1026,5,180.11,0.0
OI200194,O101185,P1041,2,134.09,0.0
OI200195,O112346,P1110,1,260.91,0.1
OI200196,O115524,P1068,1,162.56,0.05
OI200197,O102213,P1102,2,293.04,0.05
OI200198,O113053,P1112,1,139.78,0.0
OI200199,O102550,P1142,5,398.86,0.0
OI200200,O111564,P1118,5,180.15,0.05
OI200201,O121698,P1100,2,268.9,0.1
OI200202,O118365,P1133,2,129.97,0.0
OI200203,O108195,P1095,1,198.97,0.0
OI200204,O106191,P1106,1,21.38,0.2
OI200205,O107815,P1048,1,163.95,0.0
OI200206,O119871,P1110,2,280.84,0.0
OI200207,O120331,P1154,1,229.85,0.0
OI200208,O105270,P1129,5,131.67,0.0
OI200209,O110169,P1102,1,281.7,0.0
OI200210,O116461,P1021,2,434.39,0.05
OI200211,O111026,P1021,1,439.04,0.0
OI200212,O119414,P1069,1,97.45,0.0
OI200213,O117722,P1020,4,100.84,0.0
OI200214,O100484,P1030,2,294.22,0.25
OI200215,O107316,P1006,5,278.31,0.0
OI200216,O117034,P1027,2,102.29,0.1
OI200217,O110915,P1120,4,264.96,0.2
OI200218,O113223,P1122,4,101.43,0.0
OI200219,O118442,P1064,1,220.03,0.15
OI200220,O118520,P1008,1,16.15,0.05
OI200221,O100439,P1134,1,66.93,0.0
OI200222,O100471,P1069,1,100.25,0.05
OI200223,O109239,P1067,1,379.89,0.0
OI200224,O114666,P1172,2,155.85,0.0
OI200225,O106893,P1029,4,85.65,0.0
OI200226,O105207,P1173,2,216.27,0.25
OI200227,O110768,P1031,2,35.2,0.0
OI200228,O117017,P1150,2,47.19,0.2
OI200229,O118919,P1012,1,160.19,0.0
OI200230,O117768,P1169,2,297.21,0.0
OI200231,O111921,P1094,4,153.99,0.2
OI200232,O103288,P1085,3,228.41,0.25
OI200233,O106151,P1000,2,32.03,0.0
OI200234,O108486,P1078,2,208.72,0.0
OI200235,O109756,P1013,1,179.45,0.05
OI200236,O103974,P1015,3,350.31,0.1
OI200237,O120045,P1103,1,138.16,0.2
OI200238,O108088,P1048,2,161.55,0.0
OI200239,O107588,P1107,1,364.69,0.2
OI200240,O119777,P1152,2,108.53,0.1
OI200241,O116146,P1051,5,56.56,0.25
OI200242,O109409,P1038,3,39.81,0.2
OI200243,O119159,P1139,4,274.09,0.15
OI200244,O111319,P1071,2,15.23,0.15
OI200245,O116128,P1026,3,195.32,0.25
OI200246,O112942,P1156,1,394.42,0.15
OI200247,O108628,P1046,1,252.69,0.15
OI200248,O116381,P1076,2,264.98,0.2
OI200249,O106223,P1088,3,118.81,0.0
OI200250,O103078,P1096,4,183.06,0.2
OI200251,O101873,P1152,5,113.63,0.0
OI200252,O102957,P1159,2,93.57,0.05
OI200253,O110704,P1118,3,160.28,0.15
OI200254,O101303,P1118,4,170.06,0.0
OI200255,O113529,P1109,2,210.32,0.0
OI200256,O115395,P1051,2,62.93,0.15
OI200257,O106070,P1090,5,444.4,0.1
OI200258,O119356,P1171,1,372.38,0.05
OI200259,O114534,P1158,1,34.02,0.0
OI200260,O113879,P1057,5,86.86,0.15
OI200261,O114416,P1008,3,17.28,0.0
OI200262,O113848,P1157,4,173.93,0.0
OI200263,O109223,P1047,4,142.44,0.2
OI200264,O108579,P1100,3,266.54,0.0
OI200265,O120900,P1164,1,247.75,0.1
OI200266,O116370,P1064,3,223.03,0.2
OI200267,O101992,P1078,1,204.27,0.0
OI200268,O110596,P1070,3,79.63,0.25
OI200269,O109933,P1097,2,276.78,0.15
OI200270,O110543,P1091,1,149.21,0.15
OI200271,O100013,P1142,3,412.81,0.25
OI200272,O113462,P1052,1,194.51,0.05
OI200273,O119488,P1034,2,418.15,0.1
OI200274,O117617,P1057,2,86.25,0.2
OI200275,O110361,P1174,1,195.19,0.0
OI200276,O101481,P1010,1,56.0,0.0
OI200277,O113335,P1055,1,98.07,0.05
OI200278,O121879,P1175,1,257.02,0.15
OI200279,O100749,P1106,5,22.09,0.0
OI200280,O120375,P1013,2,174.32,0.1
OI200281,O103503,P1063,1,174.12,0.1
OI200282,O103247,P1156,1,395.38,0.15
OI200283,O111509,P1123,5,315.05,0.1
OI200284,O117129,P1079,1,382.81,0.0
OI200285,O119828,P1069,3,100.72,0.0
OI200286,O112115,P1176,5,186.67,0.0
OI200287,O102178,P1018,2,259.08,0.05
OI200288,O107290,P1051,5,62.76,0.1
OI200289,O120873,P1056,2,344.76,0.0
OI200290,O116484,P1138,2,308.03,0.2
OI200291,O101083,P1158,2,31.98,0.1
OI200292,O106607,P1147,4,235.38,0.0
OI200293,O105865,P1093,4,192.06,0.1
OI200294,O118051,P1008,4,16.73,0.0
OI200295,O100928,P1016,1,109.22,0.2
OI200296,O121539,P1022,5,74.57,0.15
OI200297,O107924,P1137,1,168.93,0.0
OI200298,O119000,P1108,1,197.16,0.0
OI200299,O101531,P1149,5,15.95,0.05
OI200300,O111721,P1086,1,77.35,0.2
OI200301,O120474,P1032,1,310.27,0.05
OI200302,O108108,P1137,3,165.72,0.2
OI200303,O106160,P1076,2,241.98,0.05
OI200304,O100455,P1107,1,322.89,0.0
OI200305,O115326,P1038,2,39.49,0.0
OI200306,O108545,P1026,5,189.64,0.0
OI200307,O118496,P1059,1,307.25,0.0
OI200308,O120563,P1042,3,312.95,0.15
OI200309,O103012,P1171,2,369.12,0.0
OI200310,O107322,P1133,1,121.08,0.2
OI200311,O102285,P1023,3,21.79,0.0
OI200312,O117677,P1176,1,188.21,0.0
OI200313,O101977,P1006,1,257.2,0.25
OI200314,O107001,P1055,1,88.24,0.1
OI200315,O113918,P1069,5,94.73,0.15
OI200316,O112651,P1063,3,182.67,0.0
OI200317,O114081,P1177,2,25.33,0.2
OI200319,O102069,P1158,2,31.09,0.0
OI200320,O116647,P1101,5,306.17,0.0
OI200321,O104850,P1075,2,281.59,0.2
OI200322,O120783,P1103,1,138.58,0.0
OI200323,O120666,P1081,4,351.79,0.2
OI200324,O113258,P1116,1,11.73,0.05
OI200325,O121366,P1129,1,129.02,0.1
OI200326,O103328,P1119,3,369.02,0.15
OI200327,O108816,P1114,2,13.34,0.1
OI200328,O105752,P1037,1,73.01,0.15
OI200329,O110630,P1006,2,280.68,0.2
OI200330,O104732,P1029,4,84.97,0.1
OI200331,O106112,P1175,1,264.28,0.1
OI200332,O101103,P1128,2,321.23,0.0
OI200333,O111650,P1049,2,196.35,0.0
OI200334,O114484,P1175,5,237.41,0.25
OI200335,O119870,P1146,3,50.97,0.2
OI200336,O115994,P1025,1,276.23,0.0
OI200337,O102673,P1117,2,169.75,0.0
OI200338,O118294,P1104,1,453.49,0.1
OI200339,O119783,P1006,2,276.46,0.15
OI200340,O101524,P1094,5,145.76,0.15
OI200341,O110693,P1026,5,193.24,0.1
OI200342,O103853,P1138,4,318.01,0.1
OI200343,O113651,P1099,3,214.15,0.0
OI200345,O112353,P1058,1,226.15,0.0
OI200346,O103789,P1007,4,134.43,0.1
OI200347,O119160,P1056,1,372.39,0.0
OI200348,O105230,P1126,1,214.84,0.0
OI200349,O121137,P1050,5,71.81,0.15
OI200350,O105735,P1108,4,217.18,0.0
OI200351,O105829,P1128,2,317.88,0.2
OI200352,O104379,P1103,5,151.76,0.0
OI200353,O116408,P1064,1,225.59,0.0
OI200354,O108975,P1010,4,55.34,0.0
OI200355,O110835,P1058,2,233.92,0.25
OI200356,O120038,P1093,1,194.87,0.0
OI200357,O109874,P1166,1,99.77,0.1
OI200358,O111612,P1022,1,81.21,0.2
OI200359,O110971,P1046,2,246.02,0.15
OI200360,O119549,P1036,1,216.54,0.05
OI200361,O110653,P1172,1,164.2,0.25
OI200362,O108810,P1077,3,404.35,0.15
OI200363,O121309,P1108,3,216.57,0.1
OI200364,O103547,P1153,1,175.14,0.05
OI200365,O108182,P1006,2,264.97,0.2
OI200366,O106915,P1095,1,187.71,0.0
OI200367,O120641,P1011,5,354.7,0.15
OI200368,O101258,P1029,2,77.76,0.0
OI200369,O116963,P1044,5,404.6,0.1
OI200370,O114114,P1012,5,159.64,0.1
OI200371,O111547,P1088,1,131.2,0.05
OI200372,O107189,P1017,5,54.29,0.0
OI200373,O106396,P1059,5,322.44,0.1
OI200374,O110297,P1127,1,393.8,0.0
OI200375,O103865,P1150,2,51.97,0.2
OI200376,O116005,P1130,2,226.35,0.1
OI200377,O119991,P1122,4,105.27,0.1
OI200378,O121805,P1146,2,49.2,0.15
OI200379,O116591,P1048,1,153.42,0.0
OI200380,O105156,P1089,1,29.75,0.0
OI200381,O102371,P1043,5,233.9,0.05
OI200382,O106779,P1025,1,254.2,0.2
OI200383,O112694,P1153,2,173.91,0.0
OI200384,O118591,P1012,2,159.18,0.0
OI200385,O117078,P1084,1,138.95,0.0
OI200386,O116980,P1044,2,402.95,0.1
OI200387,O108074,P1117,1,174.53,0.15
OI200388,O115399,P1169,2,281.18,0.05
OI200389,O116580,P1010,5,60.52,0.1
OI200390,O110030,P1080,2,130.72,0.0
OI200391,O110186,P1036,1,218.16,0.0
OI200392,O108171,P1112,4,140.14,0.2
OI200394,O102430,P1012,1,162.17,0.0
OI200395,O113685,P1141,1,231.71,0.0
OI200396,O105154,P1013,1,173.84,0.25
OI200397,O108110,P1073,3,313.8,0.05
OI200398,O121807,P1059,1,310.99,0.1
OI200399,O120249,P1063,5,173.77,0.0
OI200400,O101550,P1073,5,286.11,0.15
OI200401,O106086,P1103,1,134.85,0.1
OI200402,O118256,P1157,1,170.27,0.0
OI200403,O105255,P1003,3,247.16,0.05
OI200404,O103112,P1124,5,263.0,0.05
OI200405,O101408,P1173,1,212.13,0.0
OI200406,O114751,P1050,1,73.89,0.1
OI200407,O105634,P1016,4,110.62,0.0
OI200408,O107503,P1105,1,199.97,0.0
OI200409,O119132,P1141,1,232.37,0.0
OI200410,O108632,P1021,1,410.88,0.1
OI200411,O102282,P1010,5,61.33,0.1
OI200412,O120281,P1069,1,100.82,0.0
OI200413,O117431,P1162,2,91.78,0.25
OI200414,O119834,P1105,3,201.38,0.0
OI200415,O103425,P1068,2,153.73,0.15
OI200416,O108675,P1164,4,231.59,0.1
OI200417,O119273,P1056,4,357.83,0.0
OI200418,O103377,P1175,1,244.46,0.0
OI200419,O115769,P1117,1,170.13,0.15
OI200420,O106879,P1024,1,16.27,0.0
OI200421,O117663,P1143,3,62.3,0.2
OI200422,O100937,P1065,3,190.64,0.0
OI200423,O120864,P1073,3,307.26,0.1
OI200424,O112476,P1177,2,23.12,0.1
OI200425,O119098,P1114,5,12.9,0.0
OI200426,O107113,P1126,1,220.07,0.0
OI200427,O111071,P1105,5,211.94,0.2
OI200428,O114032,P1116,2,12.03,0.0
OI200429,O119889,P1048,2,155.73,0.1
OI200430,O107243,P1102,3,287.53,0.05
OI200431,O112240,P1022,3,80.49,0.0
OI200432,O121972,P1014,1,321.74,0.2
OI200433,O102164,P1172,1,161.15,0.05
OI200434,O119676,P1043,1,232.96,0.0
OI200435,O109039,P1037,2,74.44,0.05
OI200437,O103592,P1076,1,243.93,0.1
OI200438,O119120,P1115,1,76.12,0.0
OI200439,O114713,P1001,3,55.77,0.0
OI200440,O108237,P1163,5,71.83,0.15
OI200441,O110814,P1026,1,175.09,0.0
OI200442,O112043,P1068,2,152.06,0.1
OI200443,O105603,P1132,5,187.65,0.2
OI200444,O114783,P1006,2,260.41,0.05
OI200445,O115189,P1076,5,267.98,0.15
OI200446,O102983,P1016,1,106.34,0.1
OI200447,O114440,P1040,4,219.86,0.2
OI200448,O101558,P1161,5,91.5,0.05
OI200449,O116720,P1108,5,198.52,0.0
OI200450,O114223,P1160,5,246.22,0.0
OI200451,O101874,P1038,3,42.6,0.1
OI200452,O106881,P1101,4,295.98,0.0
OI200453,O112507,P1177,5,25.8,0.0
OI200454,O111416,P1111,3,77.0,0.15
OI200455,O100744,P1105,3,191.93,0.0
OI200456,O119625,P1171,3,359.56,0.1
OI200457,O101139,P1067,1,366.16,0.1
OI200458,O116757,P1062,1,186.5,0.1
OI200459,O112595,P1121,3,215.53,0.05
OI200460,O106809,P1025,1,259.29,0.1
OI200461,O104573,P1101,4,311.26,0.0
OI200462,O101567,P1084,2,136.25,0.0
OI200463,O115727,P1130,1,232.86,0.2
OI200464,O110721,P1050,4,71.32,0.0
OI200465,O107548,P1026,2,178.47,0.0
OI200466,O112435,P1090,4,465.69,0.0
OI200467,O121122,P1130,5,249.48,0.0
OI200468,O108038,P1029,5,79.11,0.0
OI200469,O108440,P1071,4,15.39,0.05
OI200470,O108004,P1072,5,19.2,0.25
OI200471,O120052,P1089,1,30.94,0.0
OI200472,O114289,P1080,1,130.47,0.1
OI200473,O116003,P1004,1,136.2,0.1
OI200474,O118452,P1106,3,21.36,0.2
OI200475,O101194,P1084,2,125.21,0.1
OI200476,O113394,P1104,5,416.53,0.25
OI200477,O118726,P1081,1,337.55,0.0
OI200478,O112952,P1015,3,352.42,0.2
OI200479,O109328,P1147,1,226.27,0.0
OI200480,O121084,P1114,2,14.08,0.1
OI200481,O121567,P1078,1,206.36,0.2
OI200483,O100948,P1055,3,93.32,0.0
OI200485,O118295,P1134,4,59.68,0.0
OI200486,O118548,P1008,2,16.78,0.0
OI200487,O111130,P1176,4,199.39,0.1
OI200488,O109435,P1079,1,396.7,0.0
OI200489,O106258,P1175,5,232.45,0.05
OI200490,O113655,P1105,2,208.37,0.0
OI200491,O100649,P1153,5,156.4,0.0
OI200492,O118564,P1179,5,125.37,0.0
OI200493,O112981,P1177,1,24.7,0.0
OI200494,O104361,P1115,3,72.09,0.0
OI200495,O119892,P1157,5,185.43,0.2
OI200496,O115185,P1022,5,77.84,0.05
OI200497,O115550,P1129,4,134.9,0.05
OI200498,O115697,P1030,3,283.46,0.0
OI200499,O115765,P1060,2,147.52,0.05
OI200500,O110622,P1101,4,311.02,0.0
OI200501,O110674,P1113,4,180.24,0.05
OI200502,O101667,P1178,1,88.6,0.05
OI200503,O121230,P1100,1,268.11,0.2
OI200504,O113413,P1012,1,147.63,0.1
OI200505,O104442,P1019,4,174.3,0.15
OI200506,O115483,P1008,1,17.38,0.2
OI200507,O109088,P1101,5,308.87,0.1
OI200508,O113219,P1145,3,206.37,0.1
OI200509,O109456,P1174,5,197.62,0.1
OI200510,O112358,P1120,2,279.78,0.05
OI200511,O121942,P1039,1,310.05,0.0
OI200512,O112511,P1063,4,175.18,0.1
OI200513,O113607,P1152,5,113.92,0.0
OI200514,O120730,P1014,2,323.11,0.25
OI200515,O104284,P1052,1,177.85,0.0
OI200516,O112403,P1166,2,106.7,0.1
OI200517,O114409,P1139,2,257.16,0.15
OI200518,O103858,P1117,4,167.62,0.05
OI200519,O119896,P1109,4,205.35,0.1
OI200520,O110509,P1116,1,12.47,0.05
OI200521,O108039,P1113,2,186.8,0.0
OI200522,O113277,P1051,1,55.35,0.0
OI200523,O120844,P1173,1,224.09,0.0
OI200524,O114094,P1166,1,104.89,0.05
OI200525,O114652,P1170,2,178.5,0.1
OI200526,O104369,P1160,2,237.23,0.1
OI200527,O108725,P1032,5,292.46,0.15
OI200528,O112248,P1101,2,293.62,0.15
OI200529,O103082,P1021,3,394.59,0.0
OI200530,O115976,P1081,1,353.73,0.05
OI200531,O109400,P1138,3,304.37,0.15
OI200532,O106925,P1177,1,24.85,0.2
OI200533,O101931,P1141,2,216.91,0.1
OI200534,O113575,P1089,1,32.95,0.0
OI200535,O107809,P1101,1,286.48,0.0
OI200536,O112128,P1139,5,253.73,0.25
OI200537,O109499,P1038,2,41.11,0.0
OI200538,O107257,P1096,1,169.87,0.1
OI200539,O112639,P1076,2,262.55,0.0
OI200540,O105630,P1115,1,80.28,0.1
OI200541,O115151,P1043,1,220.54,0.0
OI200542,O103812,P1030,2,295.72,0.05
OI200543,O105315,P1080,3,143.86,0.0
OI200544,O116647,P1118,3,171.54,0.0
OI200545,O105146,P1121,5,210.49,0.0
OI200546,O105352,P1023,1,22.38,0.0
OI200547,O120428,P1108,2,208.44,0.0
OI200548,O112627,P1013,3,174.89,0.1
OI200549,O115543,P1077,1,386.12,0.0
OI200550,O114933,P1163,3,71.58,0.25
OI200551,O104563,P1169,3,284.59,0.0
OI200552,O106396,P1009,2,329.21,0.25
OI200553,O102286,P1142,5,419.03,0.1
OI200554,O120991,P1134,2,64.99,0.0
OI200555,O107131,P1016,1,108.98,0.2
OI200556,O114499,P1078,1,197.0,0.25
OI200557,O104159,P1047,1,133.26,0.2
OI200558,O117124,P1164,1,253.85,0.0
OI200559,O115353,P1137,1,168.63,0.0
OI200560,O105468,P1049,1,209.62,0.0
OI200561,O102029,P1039,4,337.0,0.25
OI200562,O119557,P1073,5,298.53,0.0
OI200563,O107032,P1031,5,35.35,0.0
OI200564,O105497,P1038,4,41.19,0.0
OI200565,O114476,P1125,1,137.72,0.1
OI200566,O114245,P1119,1,342.94,0.15
OI200567,O118071,P1035,1,79.73,0.0
OI200568,O104257,P1148,2,259.44,0.25
OI200569,O121642,P1152,1,104.17,0.2
OI200570,O108038,P1107,5,340.36,0.0
OI200571,O100565,P1140,5,133.52,0.05
OI200572,O102881,P1169,1,280.09,0.05
OI200573,O107994,P1066,5,181.2,0.05
OI200574,O109436,P1025,5,265.31,0.1
OI200575,O108003,P1077,1,404.96,0.15
OI200576,O114265,P1131,2,25.29,0.0
OI200577,O116845,P1139,3,252.72,0.05
OI200578,O113836,P1073,3,283.52,0.0
OI200579,O100734,P1010,2,59.47,0.0
OI200580,O112997,P1003,2,246.37,0.0
OI200581,O116107,P1116,1,12.19,0.0
OI200582,O116172,P1126,1,214.67,0.05
OI200583,O104806,P1124,5,245.06,0.05
OI200584,O105056,P1179,5,118.75,0.0
OI200585,O111579,P1067,1,390.34,0.1
OI200586,O109424,P1175,1,234.38,0.0
OI200587,O120189,P1144,1,211.77,0.15
OI200588,O112605,P1034,2,448.33,0.15
OI200589,O120189,P1092,1,338.65,0.1
OI200590,O105264,P1165,2,292.26,0.15
OI200591,O103167,P1112,2,127.14,0.05
OI200592,O111756,P1139,5,253.28,0.05
OI200593,O115662,P1165,2,272.94,0.0
OI200594,O119478,P1138,1,325.74,0.1
OI200595,O118469,P1045,3,147.3,0.0
OI200596,O106335,P1065,2,191.16,0.1
OI200597,O110070,P1046,2,240.41,0.0
OI200598,O115881,P1161,5,101.65,0.05
OI200599,O116770,P1058,5,229.65,0.25
OI200600,O100605,P1068,1,163.89,0.2
OI200601,O118851,P1018,2,245.84,0.0
OI200602,O105581,P1108,1,215.22,0.2
OI200603,O113860,P1019,1,170.86,0.1
OI200604,O114954,P1001,5,53.94,0.1
OI200605,O118768,P1059,5,308.95,0.0
OI200606,O111089,P1030,2,297.07,0.15
OI200607,O108308,P1049,5,213.98,0.1
OI200608,O119778,P1037,2,71.79,0.0
OI200609,O104095,P1144,4,225.1,0.1
OI200610,O119751,P1095,0,199.43,0.25
OI200611,O110281,P1024,5,16.41,0.1
OI200612,O108765,P1143,2,67.61,0.0
