order_id,customer_id,order_date,payment_method,sales_channel,order_status,shipping_city,shipping_fee
O100160,C11472,2025-09-05 00:00:00,cArD,Website,Cancelled,yEReVaN,0.0
O100161,C13188,2025-02-09 00:00:00,Card,Website,Completed,ARTASHAT,0.0
O100162,C10240,2025-07-04 00:00:00,Card,Website,Shipped,  Etchmiadzin  ,2.5
O100163,C11049,2025-05-09 00:00:00,PayPal,Website,Cancelled,gyumri,0.0
O100164,C11671,2025-05-07 00:00:00,'Bank Transfer',Marketplace,Cancelled,"""ARmAVIR""",0.0
O100165,C10561,2025-11-17 00:00:00,Bank Transfer,Social Media,Completed,ARTASHAT,8.5
O100166,C11999,2025-09-11 00:00:00,Bank Transfer.,Website,Completed,Abovyan,8.5
O100167,C10805,2025-11-01 00:00:00,Card,Marketplace,Completed,"""Kapan""",0.0
O100168,C11929,2025-11-12 00:00:00,card,Marketplace,Completed,Kapan,4.5
O100169,C12345,2025-04-11 00:00:00,Bank Transfer,Website,Completed,Kapan,2.5
O100170,C10804,2025-08-23 00:00:00,Bank Transfer,Website,Completed,Vanadzor,0.0
O100171,C12201,2025-02-24 00:00:00,PayPal,Website,Completed,Kapan,0.0
O100172,C12779,2025-03-11 00:00:00,card,Mobile App,Completed,Hrazdan,0.0
O100173,C11675,2025-06-05 00:00:00,PayPal,Website,Completed,Kapan,4.5
O100174,C12515,2025-01-04 00:00:00,"""""Card""""",Website,Completed,Abovyan,4.5
O100175,C12096,2025-07-22 00:00:00,  Bank Transfer  ,Website,Completed,'Armavir',8.5
O100176,C11677,2025-06-20 00:00:00,Card,Mobile App,Cancelled,Abovyan,8.5
O100177,C10045,2025-11-14 00:00:00,Apple Pay,Website,Completed,#Hrazdan,0.0
O100178,C13356,2025-07-14 00:00:00,Card,Mobile App,Pending,  diliJaN  ,0.0
O100179,C12827,2025-06-18 00:00:00,BANK TRANSFER,Social Media,Completed,kaPAn,0.0
O100180,C11651,2025-08-14 00:00:00,CASH,Mobile App,Completed,gyuMRi,4.5
O100181,C10081,2025-06-21 00:00:00,Card,Website,Shipped,kapan,4.5
O100182,C13115,2025-08-09 00:00:00,carD,Website,Completed,"Kapan,",8.5
O100183,C13002,2025-11-30 00:00:00,#paypal,Website,Completed,vagharshapat,0.0
O100184,C12320,2025-11-01 00:00:00,"""Card""",Social Media,Completed,GyM,0.0
O100185,C12441,2025-03-11 00:00:00,Card,Marketplace,Completed,Armavir,0.0
O100186,C11809,2025-06-03 00:00:00,Apple Pay,Mobile App,Shipped,Etchmiadzin,0.0
O100187,C10789,2025-06-14 00:00:00,#Bank Transfer,Website,Shipped,yvn,6.0
O100188,C10594,2025-11-05 00:00:00,Card,Mobile App,Completed,vanadzor,6.0
O100189,C12105,2025-12-22 00:00:00,Cash,Marketplace,Completed,Abovyan,0.0
O100190,C12612,2025-04-13 00:00:00,"Cash,",Social Media,Completed,Dilijan,0.0
O100191,C10000,2025-09-03 00:00:00,"""PayPal""",Mobile App,Completed,Dilijan,6.0
O100192,C12263,2025-06-10 00:00:00,bank transfer,Mobile App,Pending,armavir,4.5
O100193,C13388,2025-04-01 00:00:00,payPaL,Mobile App,Completed,Kapan,8.5
O100194,C13299,2025-07-23 00:00:00,Card,Social Media,Shipped,Etchmiadzin,0.0
O100195,C11496,2025-06-13 00:00:00,"""""Bank Transfer""""",Mobile App,Completed,dIlIJAn,4.5
O100196,C10765,2025-05-30 00:00:00,  Card  ,Website,Completed,'ETchmIadZin',0.0
O100197,C10670,2025-12-22 00:00:00,Card,Mobile App,Completed,Dilijan,0.0
O100198,C13358,2025-11-21 00:00:00,bANk tranSfER,Marketplace,Completed,Artashat,0.0
O100199,C12558,2025-09-09 00:00:00,Card,Mobile App,Pending,Hrazdan,0.0
O100200,C11601,2025-10-22 00:00:00,Cash,Mobile App,Shipped,VNZ,0.0
O100201,C10914,2025-05-05 00:00:00,PayPal,Mobile App,Completed,yerevan,0.0
O100202,C11844,2025-06-16 00:00:00,Card,Mobile App,Completed,gyumri city,4.5
O100203,C11995,2025-07-12 00:00:00,Card,Website,Cancelled,Kapan,2.5
O100204,C10094,2025-05-24 00:00:00,Bank Transfer,Mobile App,Cancelled,gyumri.,0.0
O100205,C10492,2025-07-21 00:00:00,apple pay,Website,Completed,Artashat,4.5
O100206,C12812,2025-07-06 00:00:00,Bank Transfer,Social Media,Completed,"""Yerevan""",8.5
O100207,C13069,2025-02-28 00:00:00,Cash,Social Media,Cancelled,aboVyAn,4.5
O100208,C10149,2025-10-16 00:00:00,Card,Website,Pending,Armavir.,8.5
O100209,C11046,2025-04-13 00:00:00,"""CARD""",Social Media,Completed,Armavir.,0.0
O100210,C12803,2025-10-31 00:00:00,Bank Transfer,Website,Completed,Abovyan,0.0
O100211,C11238,2025-10-07 00:00:00,  CARD  ,Mobile App,Completed,Abovyan,6.0
O100212,C10398,2025-04-03 00:00:00,PayPal,Website,Pending,Abovyan,8.5
O100213,C12457,2025-12-16 00:00:00,Card,Website,Completed,yerevan,4.5
O100214,C12178,2025-10-09 00:00:00,cash,Marketplace,Completed,VANADZor,4.5
O100215,C10854,2025-01-14 00:00:00,Bank Transfer,Marketplace,Completed,Vanadzor,0.0
O100216,C12195,2025-08-25 00:00:00,"PayPal,",Mobile App,Completed,HRAZDAN,0.0
O100217,C10380,2025-12-29 00:00:00,Bank Transfer,Website,Completed,"Armavir,",0.0
O100218,C13180,2025-04-18 00:00:00,"""Apple Pay""",Website,Completed,"""hrazdan""",8.5
O100219,C10551,2025-08-13 00:00:00,Apple Pay,Marketplace,Completed,Abovyan,6.0
O100220,C13192,2025-05-30 00:00:00,apPlE paY,Website,Completed,"""kapAn""",4.5
O100221,C10294,2025-12-21 00:00:00,'PayPal',Website,Cancelled,  YEREVAN  ,0.0
O100222,C11143,2025-02-05 00:00:00,bank transfer,Marketplace,Completed,Etchmiadzin,0.0
O100223,C10455,2025-07-29 00:00:00,Bank Transfer,Social Media,Completed,artashat,6.0
O100224,C11553,2025-12-11 00:00:00,Card,Website,Cancelled,Gyumri City,8.5
O100225,C10168,2025-09-13 00:00:00,Card,Marketplace,Cancelled,"""""Artashat""""",0.0
O100226,C10709,2025-03-13 00:00:00,'card',Mobile App,Pending,Kapan,6.0
O100227,C11946,2025-11-21 00:00:00,Card,Website,Completed,"Kapan,",0.0
O100228,C12019,2025-06-05 00:00:00,Card,Mobile App,Shipped,Abovyan,4.5
O100229,C13214,2025-05-04 00:00:00,Card,Mobile App,Completed,Dilijan,4.5
O100230,C12084,2025-05-10 00:00:00,"""PayPal""",Website,Cancelled,Hrazdan,8.5
O100231,C11721,2025-12-04 00:00:00,PayPal,Mobile App,Cancelled,'VAGHARSHAPAT',6.0
O100232,C11284,2025-03-20 00:00:00,CARD,Mobile App,Cancelled,etchmiadzin.,0.0
O100233,C12278,2025-08-05 00:00:00,  card  ,Website,Completed,ArmavIr,8.5
O100234,C10253,2025-07-13 00:00:00,PayPal,Website,Shipped,'dilIjAn',2.5
O100235,C12376,2025-02-07 00:00:00,"""""PayPal""""",Website,Shipped,Hrazdan,0.0
O100236,C11320,2025-08-18 00:00:00,Apple Pay,Website,Pending,DILIJAN,0.0
O100237,C13027,2025-11-03 00:00:00,APple PAy,Website,Completed,Abovyan,8.5
O100238,C12057,2025-09-03 00:00:00,Apple Pay,Mobile App,Completed,"Armavir,",0.0
O100239,C12493,2025-10-26 00:00:00,CaRd,Website,Completed,Dilijan.,0.0
O100240,C12969,2025-07-25 00:00:00,"""""CArD""""",Website,Shipped,armavir,6.0
O100241,C12883,2025-10-01 00:00:00,Bank Transfer,Website,Shipped,vaNAdZoR,6.0
O100242,C13301,2025-09-17 00:00:00,Card,Mobile App,Completed,"""GYuMri""",8.5
O100243,C12125,2025-12-21 00:00:00,"PAYPAL,",Mobile App,Shipped,"Yerevan,",2.5
O100244,C13496,2025-08-03 00:00:00,Cash,Website,Cancelled,yerevan,6.0
O100245,C12240,2025-10-06 00:00:00,PayPal,Social Media,Completed,AbOVYan,0.0
O100246,C10400,2025-01-19 00:00:00,"""Card""",Mobile App,Pending,Dilijan.,0.0
O100247,C12156,2025-07-04 00:00:00,Cash,Mobile App,Cancelled,  gmr  ,4.5
O100248,C12839,2025-12-26 00:00:00,Cash,Website,Pending,Vanadzor,2.5
O100249,C11946,2025-10-02 00:00:00,ApplE paY,Website,Shipped,vanadzor,6.0
O100250,C12310,2025-11-01 00:00:00,Card,Social Media,Pending,KAPAN,4.5
O100251,C12376,2025-11-23 00:00:00,ApplE PAY,Website,Cancelled,Vagharshapat,6.0
O100252,C10362,2025-02-13 00:00:00,PayPal,Mobile App,Cancelled,Hrazdan,0.0
O100253,C13449,2025-02-25 00:00:00,Bank Transfer,Mobile App,Shipped,Artashat,0.0
O100254,C13412,2025-05-08 00:00:00,PayPal,Marketplace,Completed,Abovyan,4.5
O100255,C12306,2025-12-03 00:00:00,BANK TRANSFER,Website,Shipped,"""Dilijan""",2.5
O100256,C11358,2025-12-07 00:00:00,"cArD,",Mobile App,Cancelled,Vanadzor,4.5
O100257,C10084,2025-07-01 00:00:00,Card,Mobile App,Completed,Kapan,0.0
O100258,C11545,2025-03-27 00:00:00,paypal,Website,Completed,"Kapan,",0.0
O100259,C11824,2025-11-28 00:00:00,  Bank Transfer  ,Website,Pending,Gyumri,6.0
O100260,C10307,2025-11-10 00:00:00,Card,Website,Completed,  ARTASHAT  ,0.0
O100261,C10261,2025-01-23 00:00:00,Bank Transfer,Website,Completed,#Armavir,0.0
O100262,C11921,2025-10-16 00:00:00,Card,Website,Completed,Yerevan,0.0
O100263,C12844,2025-11-27 00:00:00,  Card  ,Mobile App,Completed,"Gyumri,",4.5
O100264,C10630,2025-12-13 00:00:00,Cash,Marketplace,Cancelled,"""""GYuMri""""",4.5
O100265,C10679,2025-11-28 00:00:00,CARD,Social Media,Completed,Armavir,6.0
O100266,C10864,2025-07-24 00:00:00,"CARD,",Website,Pending,VANADZOR,8.5
O100267,C13322,2025-06-19 00:00:00,Card,Website,Pending,Kapan,0.0
O100268,C12371,2025-08-09 00:00:00,Cash,Marketplace,Completed,#Dilijan,0.0
O100269,C12972,2025-02-24 00:00:00,CARD,Marketplace,Completed,ETCHMIADZIN,0.0
O100270,C13300,2025-01-06 00:00:00,Card,Mobile App,Completed,Gyumri,0.0
O100271,C11725,2025-02-20 00:00:00,Card.,Website,Cancelled,"""Artashat""",0.0
O100272,C11851,2025-05-13 00:00:00,Card,Marketplace,Completed,Artashat,6.0
O100273,C13368,2025-04-24 00:00:00,Card,Website,Completed,Kapan,2.5
O100274,C10726,2025-09-19 00:00:00,Card,Website,Completed,Abovyan,2.5
O100275,C11260,2025-09-23 00:00:00,Card,Marketplace,Cancelled,YEV.,0.0
O100276,C13025,2025-10-13 00:00:00,paypal,Mobile App,Completed,"""""armavir""""",6.0
O100277,C11648,2025-10-25 00:00:00,Card,Website,Completed,Artashat,0.0
O100278,C10216,2025-12-19 00:00:00,Card,Mobile App,Completed,armavir,0.0
O100279,C11269,2025-10-22 00:00:00,Card,Mobile App,Shipped,Gyumri,2.5
O100280,C10447,2025-04-24 00:00:00,Card,Marketplace,Completed,Kapan,0.0
O100281,C10318,2025-08-17 00:00:00,  pAYpal  ,Website,Cancelled,Dilijan,4.5
O100282,C13041,2025-07-11 00:00:00,card,Website,Completed,Yerevan,0.0
O100283,C13475,2025-07-20 00:00:00,cArD,Mobile App,Completed,"""Hrazdan""",2.5
O100284,C11909,2025-08-26 00:00:00,  Card  ,Marketplace,Completed,Armavir,4.5
O100285,C12084,2025-12-14 00:00:00,cash,Website,Shipped,aRTAsHaT,0.0
O100286,C12778,2025-10-29 00:00:00,Card,Website,Completed,#Dilijan,2.5
O100287,C13413,2025-12-20 00:00:00,Bank Transfer,Website,Cancelled,VNZ,4.5
O100288,C13058,2025-09-14 00:00:00,#CARD,Website,Shipped,#Armavir,0.0
O100289,C13460,2025-03-19 00:00:00,  Card  ,Marketplace,Completed,vanadzor,0.0
O100290,C11057,2025-06-26 00:00:00,Bank Transfer,Website,Completed,Armavir,2.5
O100291,C10038,2025-01-13 00:00:00,Bank Transfer,Mobile App,Pending,"""""Hrazdan""""",8.5
O100292,C11602,2025-09-05 00:00:00,"""Bank Transfer""",Website,Completed,Kapan,0.0
O100293,C12256,2025-02-23 00:00:00,Card,Website,Pending,"""""ETCHMIADZIN""""",0.0
O100294,C10829,2025-06-01 00:00:00,Cash,Social Media,Shipped,HrazdaN,0.0
O100295,C10855,2025-08-01 00:00:00,Card,Mobile App,Cancelled,Gyumri,0.0
O100296,C13223,2025-02-13 00:00:00,Bank Transfer,Mobile App,Shipped,Artashat,6.0
O100297,C12946,2025-03-01 00:00:00,"""""Cash""""",Mobile App,Shipped,"""Kapan""",6.0
O100298,C13436,2025-03-14 00:00:00,Card.,Website,Cancelled,KAPAN,6.0
O100299,C13270,2025-06-28 00:00:00,bank transfer,Mobile App,Pending,"""""Hrazdan""""",4.5
O100300,C12648,2025-06-09 00:00:00,baNK TranSfER,Website,Completed,Vanadzor,8.5
